KAB_KOTA;IPM; Anggaran  ;IPG;PKKP;PPM;PPK;PPK_Makanan;Air Layak;IKK;PDRB;IKKe;Bekerja_Informal;Bekerja_Formal
MALUKU TENGGARA BARAT;64.83;;75.65;35.83;23.66;7091;;;111.8;3618;1.03;;
MAMASA;68.37;513.388.171.000;61.09;7.16;14.2;8415;48.91;37.94;105.24;3772;0.33;51.61;16.86
MAMBERAMO RAYA;55;52.229.904.000;54.73;52.1;30.29;5298;48.96;49.76;175.63;2305;0.55;37.61;12.98
MAMBERAMO TENGAH;50.72;16.674.052.000;53.4;29.91;35.27;4943;72.84;67.77;285.83;1554;1.31;85.01;4.28
MAMUJU;70.4;905.257.631.000;60.61;7.37;7.15;10440;44.25;85.7;89.76;16024;0.26;46.49;21.05
MAMUJU TENGAH;68.36;109.432.235.000;55.84;6.18;7.72;9250;48.91;85.41;90.07;4555;0.19;45.5;15.31
MAMUJU UTARA;69.73;141.582.856.000;56.06;4.97;5.21;12190;;;97.28;15579;0.11;;
MANDAILING NATAL;69.33;371.954.844.000;66.37;7.1;8.69;10644;62.21;90.72;93.25;20279;0.21;41.99;18.77
MANGGARAI;67.28;290.032.105.000;65.39;11.03;19.01;8204;57.29;91.21;102.79;5944;0.66;51.51;17.82
MANGGARAI BARAT;66.65;328.395.020.000;62.72;11.03;16.74;8195;52.73;87.33;99.67;4594;0.96;54.04;21.87
MANGGARAI TIMUR;64.2;103.677.513.000;53.16;13.14;24.9;6561;65.14;76.18;93.7;4269;1.49;49.6;23.73
MANOKWARI;73.83;2.463.349.917.000;63.55;22.18;18.45;13008;49.42;92.06;113.78;11327;0.82;28.53;28.54
MANOKWARI SELATAN;62.45;121.325.707.000;55.62;20.01;26.83;6139;51.07;81.94;121.72;1018;1.54;48.96;21.01
MAPPI;61.51;35.088.172.000;57.73;46.32;25.7;7068;59.95;52.67;147.15;3834;1.2;36;32.01
MAROS;72.11;416.568.904.000;71.86;7.23;9.32;12209;51.04;84.72;96.64;28624;0.19;33.29;20.65
MAYBRAT;61.83;91.325.002.000;66.84;18.16;29.18;5824;52.3;76.34;130.71;863;1.08;52.39;16.66
MELAWI;68.66;131.913.436.000;73.76;20.28;10.62;9596;51.77;17.1;110.58;7234;0.49;37.82;33.15
MERANGIN;71.66;227.130.689.000;58.12;15.19;8.4;11425;;84.03;95.59;25472;0.27;42.05;22.4
MERAUKE;72.73;1.179.088.534.000;72.79;10.21;10.19;11077;58.96;79.38;138.95;20350;0.67;35.91;23.01
MESUJI;66.46;105.954.809.000;67.3;14.29;6.31;9454;48.39;85.36;92.43;14153;0.16;39.5;28.83
MIMIKA;76.85;341.719.944.000;63.29;10.25;14.18;12487;53.83;91.13;121.9;146298;1.42;50.91;3.6
MINAHASA;77.74;525.065.528.000;87.27;22.09;6.53;13681;51.42;90.15;99.4;24047;0.41;31.7;24.05
MINAHASA SELATAN;74.17;268.174.844.000;77.91;5.51;8.97;12529;59.17;100;98.06;12604;0.11;38.56;26.09
MINAHASA TENGGARA;72.66;102.694.079.000;84.47;8.38;11.72;11511;59.07;80.51;97.07;7355;0.3;32.13;27.27
MINAHASA UTARA;75.89;162.193.748.000;75.55;6.93;6.95;12412;53.34;99.84;104.99;20382;0.11;30.93;25.74
MOJOKERTO;75.98;422.753.890.000;78;7.47;9.37;13903;;95.99;97.79;113130;0.19;35.18;32.13
MOROWALI;73.54;139.990.307.000;64.5;6.94;11.55;12281;48.77;85.24;104.11;173865;0.43;29.18;26.48
MOROWALI UTARA;70.58;115.792.362.000;65.68;4.14;11.95;10032;55.51;83.52;103.88;30234;0.39;40.74;20.9
MUARA ENIM;71;357.425.147.000;69.55;6.31;9.79;12291;51.7;93.63;94.79;116724;0.64;34.01;30.09
MUARO JAMBI;71.91;277.227.172.000;65.81;4.86;3.65;10007;56.46;96.1;96.85;40476;0.1;34.71;25.65
MUKOMUKO;70.63;153.049.055.000;51.17;7.78;10.76;11665;54.43;78.47;99.2;7566;0.32;40.32;30.04
MUNA;71.05;247.073.234.000;62.24;5.56;13.78;9107;50.48;97.7;91.8;9489;0.36;44.06;22.3
MUNA BARAT;68.06;38.440.507.000;47.37;19.36;13.38;8458;56.39;97.94;91.91;3541;0.45;41.98;23.63
MURUNG RAYA;70.03;98.369.514.000;68.81;15.28;6.58;11503;56.77;71.65;116.04;11857;0.35;26.76;32.71
MUSI BANYUASIN;70.12;243.186.041.000;65.65;8.71;12.88;11424;55.08;84.99;92.7;92667;0.43;31.5;27.53
MUSI RAWAS;68.95;184.616.755.000;63.98;4.41;13.44;11058;57.43;92.46;90.62;25472;0.4;41.41;24.77
MUSI RAWAS UTARA;67.4;86.130.976.000;43.2;6.83;17.38;11198;61.64;87.09;93.81;9696;0.78;32.98;30.01
NABIRE;71.77;94.391.459.000;70.76;6.5;24;9856;48.62;67.42;125.32;14968;2.08;65.91;7.31
NAGAN RAYA;71.72;163.156.324.000;45.23;24.93;16.94;9523;63.35;91.52;97.41;12432;0.45;40.26;19.21
NAGEKEO;67.72;95.720.816.000;62.02;6.91;12.3;8986;57.31;99.85;86.04;2870;0.26;44.32;23.2
NATUNA;74.56;255.547.829.000;43.86;12.34;5.04;15560;51.17;93.46;116.22;22693;0.03;31.64;32.09
NDUGA;36.3;34.452.695.000;50.08;13.48;36.28;4597;66.65;32.89;230.13;1630;1.22;92.55;1.25
NGADA;69.52;122.389.584.000;55.66;21.67;11.87;9585;56.94;97.57;84.89;4469;0.55;54.66;16.55
NGANJUK;74.23;487.886.588.000;68.09;11.42;10.17;13376;;92.91;95.01;36271;0.18;41.94;20.3
NGAWI;73.09;396.560.759.000;73.02;7.71;13.81;12414;;94.5;92.76;25945;0.61;48.41;18.73
NIAS;65.55;290.582.448.000;64.57;9.4;14.89;7698;58.65;48.84;110.03;5305;0.34;65.25;12.84
NIAS BARAT;64.67;52.340.386.000;72.4;6.24;22.68;6740;;61.99;115.36;2532;0.2;55.26;15.95
NIAS SELATAN;65.02;137.806.864.000;64.56;6.96;16.32;7730;66.41;55.06;110.59;9128;0.6;58.77;10.84
NIAS UTARA;65.62;47.026.569.000;65.11;7.81;21.5;7189;60.58;50.42;107.35;4790;1.28;60.13;13.99
NUNUKAN;68.52;375.020.758.000;73.85;6.73;5.73;8265;49.43;84.23;107.83;40543;0.23;33.61;28.3
OGAN ILIR;69.4;219.919.817.000;60.91;17.73;12.3;12093;57.4;97.34;87.91;15241;0.33;40.68;25.48
OGAN KOMERING ILIR;69.33;291.115.883.000;59.53;7.12;12.08;12305;59.71;88.58;93.42;46649;0.39;41.06;20.48
OGAN KOMERING ULU;71.55;252.808.386.000;46.63;5.77;10.68;11339;53.17;79.58;83.37;20465;0.13;43.18;22.48
OGAN KOMERING ULU SELATAN;67.65;168.030.894.000;58.28;7.31;9.86;9680;58.01;85.67;89.75;11908;0.38;60.41;10.17
OGAN KOMERING ULU TIMUR;71.55;225.536.564.000;65.6;12.95;9.75;12623;58.05;92.97;92.51;21240;0.09;40.84;24.43
PACITAN;70.74;245.840.078.000;64.12;7.63;13.08;10099;;86.45;91.07;20657;0.25;54.04;18.57
PADANG LAWAS;71.27;184.202.081.000;54.35;14.05;7.87;9821;58.24;91;93.07;18330;0.3;48.46;25.57
PADANG LAWAS UTARA;72.32;119.861.039.000;67.49;5.53;8.97;10925;56.26;60.12;93.95;17831;0.29;45.63;24.57
PADANG PARIAMAN;73.1;372.361.490.000;48.05;6.16;6.27;11756;54.28;92.55;88.15;26809;0.19;42.66;21.1
PAKPAK BHARAT;70.36;64.779.275.000;61.66;8.68;6.87;9158;57.16;56.89;99.12;1719;0.11;51.54;18.82
PAMEKASAN;68.49;592.036.693.000;51.8;6.13;13.41;9811;;80.84;96.19;22492;0.14;54.25;15.62
PANDEGLANG;65.86;660.741.274.000;70.1;14.36;9.18;9631;60.87;88.9;86.7;37631;0.35;42.55;16.28
PANGANDARAN;69.85;194.128.613.000;73.89;2.7;8.75;9654;54.44;82.86;92.92;15475;0.29;50.83;24.07
PANGKAJENE DAN KEPULAUAN;71.22;335.864.862.000;58.4;5.22;12.41;12643;49.96;92.71;91.49;34607;0.38;27.67;30.12
PANIAI;58.69;57.279.673.000;23.59;4;37.07;7470;63.72;43.02;177.76;5339;1.82;80;1.13
PARIGI MOUTONG;67.49;251.050.230.000;60.52;56.52;14.2;10846;55.63;90.16;86.43;23476;1.08;36.03;25.23
PASAMAN;68.89;182.160.430.000;68.72;9.83;6.74;9194;59.61;71.74;90.35;12165;0.13;53.85;19.17
PASAMAN BARAT;70.93;206.602.456.000;63.37;8.74;7;9888;54.1;56.88;94.6;21116;0.17;40.78;32.38
PASIR;74.7;222.143.042.000;65.98;8.55;8.63;12181;52.9;80.59;114.87;55429;0.17;29.26;27.56
PASURUAN;70.73;561.979.466.000;69.57;8.44;8.63;11617;53.14;91.72;95.97;201665;0.21;32.64;29.95
PATI;74.1;561.138.708.000;66.3;10.37;9.17;11829;52.3;86.41;104.52;59015;0.25;41.45;23.55
PEGUNUNGAN ARFAK;58.73;41.350.968.000;33.54;8.4;31.76;5722;50.14;71.24;153.69;359;1.38;75.23;4.03
PEGUNUNGAN BINTANG;49.36;93.606.103.000;52.67;32.68;28.95;6196;66.97;47.86;302.53;2528;1.83;78.37;6.53
PEKALONGAN;71.84;314.036.360.000;65.06;17.89;8.95;11701;55.91;89.53;101.29;30224;0.23;33.75;35.59
PELALAWAN;74.08;181.790.089.000;53.42;5.54;8.49;12575;54.43;96.4;95.67;77686;0.21;24.69;33.15
PEMALANG;68.55;371.919.816.000;81.47;10.38;14.92;10017;57.13;86.58;104.1;34889;0.61;41.04;22.51
PENAJAM PASER UTARA;73.9;19.736.105.817.000;50.52;6.31;6.69;13100;50.24;87.93;117.84;23327;0.12;34.56;34.19
PENUKAL ABAB LEMATANG ILIR;67.48;85.086.934.000;52.27;8.2;9.82;9604;53.84;91.28;93.56;9386;0.09;56.33;16.13
PESAWARAN;68.52;212.259.386.000;65.03;6.97;11.86;9190;58.05;88.57;85.36;21667;0.36;42.68;22.36
PESISIR BARAT;66.73;73.145.527.000;66.33;11.36;12.64;9550;57.29;75.55;95.14;6138;0.49;51.41;18.17
PESISIR SELATAN;72.02;283.267.302.000;55.72;8.4;7.49;10211;59.33;74.9;92.61;19182;0.11;39.71;18.82
PIDIE;72.31;455.290.795.000;62.44;8.82;18.59;11187;60.65;83.25;92.66;14549;0.42;33.21;25.65
PIDIE JAYA;75.16;211.112.868.000;55.98;8.63;18.28;11274;56.77;91.35;92.33;4725;0.73;36.42;21.61
PINRANG;73.55;391.142.853.000;63.06;9.67;8.55;13010;53.53;79.26;93.05;26653;0.34;36.29;20.1
